MGM_BLD_PK|FLR_MAIN_PURPS_CD|FLR_MAIN_PURPS_CD_NM|FLR_TOTAREA|FLR_RAT|MAIN_PURPS_CD|H_PSU|H_ETC
36110-1000025960|01001|단독주택|95.25|100|01000|-0|-0
36110-1000025961|21101|축사|147|85.3658536585366|21000|0.600608575413187|0.600608575413187
36110-1000025962|01001|단독주택|69.16|61.3011877326715|01000|0.962828346720994|0.962828346720994
36110-1000025963|01001|단독주택|19.6|79.6747967479675|01000|0.728384672268845|0.728384672268845
36110-1000025964|01001|단독주택|65.22|100|01000|-0|0.805764293521634
36110-1000025965|01001|단독주택|51.9|71.9334719334719|01000|0.85635571918757|0.85635571918757
36110-1000025966|01001|단독주택|88.01|100|01000|-0|-0
36110-1000025967|18001|창고|68.4|52.8593508500773|01000|0.997639650078593|0.997639650078593
36110-1000025968|18001|창고|33.75|100|18000|-0|-0
36110-1000025969|01001|단독주택|99.2|100|01000|-0|-0
36110-1000025970|01001|단독주택|60.42|56.2255723059743|01000|0.988787800897656|0.988787800897656
36110-1000025971|01001|단독주택|89.52|82.7050997782705|01000|0.66440658993729|0.66440658993729
36110-1000025972|01001|단독주택|111.12|82.9749103942652|01000|0.658278401003149|0.658278401003149
36110-1000025973|01001|단독주택|54.39|74.8761013215859|01000|0.813235972765069|0.813235972765069
36110-1000025974|21999|기타동식물관련시설|172.48|100|21000|-0|-0
36110-1000025975|21101|축사|136|100|21000|-0|-0
36110-1000025976|21101|축사|119|100|21000|-0|-0
36110-1000025977|18999|기타창고시설|56.5|100|21000|-0|-0
36110-1000025978|21101|축사|264|100|21000|-0|-0
36110-1000025979|21101|축사|340|100|21000|-0|-0
36110-1000025980|01001|단독주택|73.01|100|01000|-0|-0
36110-1000025981|01001|단독주택|172.92|50|01000|1|1
36110-1000025982|01001|단독주택|89.03|53.4650492433341|01000|0.996532858932549|0.996532858932549
36110-1000025983|01001|단독주택|91|100|01000|-0|-0
36110-1000025984|01001|단독주택|45.6|74.4611365120836|01000|0.81970772486976|0.81970772486976
36110-1000025986|01001|단독주택|76.5|78.0214176440592|01000|0.759776230204988|0.759776230204988
36110-1000025987|01001|단독주택|94.5|100|01000|-0|-0
36110-1000025988|01001|단독주택|80.19|100|01000|-0|-0
36110-1000025989|01001|단독주택|36.9|72.852912142152|01000|0.843567345488326|0.843567345488326
36110-1000025990|01001|단독주택|82|100|01000|-0|-0
36110-1000025991|01001|단독주택|41|100|01000|-0|-0
36110-1000025992|06108|사당|15.91|100|06000|-0|-0
36110-1000025993|01001|단독주택|87.96|76.7807262569832|01000|0.781814196852084|0.781814196852084
36110-1000025994|01001|단독주택|97.2|100|01000|-0|-0
36110-1000025995|18001|창고|31.08|100|18000|-0|-0
36110-1000025996|01001|단독주택|77.12|85.3286125248949|01000|0.601555308951956|0.601555308951956
36110-1000025997|01001|단독주택|55|70.0458481915436|01000|0.880729732147559|0.880729732147559
36110-1000025998|01001|단독주택|49.49|68.2338342754722|01000|0.90182044737234|0.90182044737234
36110-1000025999|01001|단독주택|109.19|79.1633437250779|01000|0.93796663859373|1.46971300343134
36110-1000026000|01001|단독주택|45.76|79.0191676739769|01000|0.741116197088601|0.741116197088601
36110-1000026001|01001|단독주택|52.32|77.5111111111111|01000|0.768994525568275|0.768994525568275
36110-1000026002|01001|단독주택|97.11|100|01000|-0|-0
36110-1000026003|01001|단독주택|32.5|100|01000|-0|-0
36110-1000026004|01001|단독주택|137.24|100|01000|-0|-0
